Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2022-10-17,"56,600","-1,275,090","2,604,364","-1,253,469","-1,162,961","6,007","28,152","-11,506","2,657","-11,280","-7,810","-67,995","-104,538"
2022-10-14,"56,300","-1,368,884","206,925","1,181,626","792,276","-47,729","71,101","-1,221","1,070","497,794","-11,158","-8,509","-131,665"
2022-10-13,"55,200","273,449","595,814","-949,397","-229,004","-1,347","9,180","19,445","30,889","-442,022","13,797","66,337","-336,538"
2022-10-12,"55,800","-659,319","762,336","-124,387","-493,050","4,529","300,728","-1,384","-1,390","117,122","16,852","4,518","-50,942"
2022-10-11,"55,400","509,942","274,138","-755,469","-1,164,778","83,048","-13,271","16,493","5,423","582,532","-27,190","-1,421","-264,916"
2022-10-07,"56,200","-1,050,813","1,468,087","-361,472","-746,631","-15,617","72,762","-3,859","36,514","443,687","-52,411","-3,391","-148,328"
2022-10-06,"56,300","-1,325,116","1,877,936","-479,637","-358,953","-47,831","117,610","13,791","-1,466","-205,452","-76,899","3,716","2,664"
2022-10-05,"56,000","-1,539,352","3,990,959","-2,444,114","-2,918,558","-244,673","130,227","-6,095","6,937","550,437","32,679","-40,172","37,611"
2022-10-04,"55,200","-4,066,209","4,383,426","-285,415","-1,114,126","78,484","291,908","-44,952",-517,"252,093","-41,214","9,412","251,695"
2022-09-30,"53,100","-1,863,241","1,286,494","584,406","-146,050","44,870","495,912","-10,682",344,"151,240","3,502","-11,161","48,772"
2022-09-29,"52,600","361,194","-199,138","-174,747","-548,622","-18,598","30,447","7,830","-23,743","314,202","11,071","1,620","63,737"
2022-09-28,"52,900","2,685,078","-2,438,720","-301,326","-113,875","28,050","53,761","19,227","8,708","-162,992","33,395","21,573","-134,205"
2022-09-27,"54,200","-344,649","-1,364,623","1,747,376","1,750,192","56,465","122,996","-7,612","2,325","-81,638","-36,016","-2,088","-95,352"
2022-09-26,"53,900","-528,072","-2,194,083","2,736,389","3,007,983","-73,513","36,610","19,784",-726,"-151,898","-17,992","3,758","-101,851"
2022-09-23,"54,500","42,965","937,966","-1,024,721","-99,983","-36,986","-106,681","28,291","-2,993","-520,091","27,591","16,199","-286,278"
2022-09-22,"54,400","3,707,458","-2,023,087","-1,830,100","-1,528,874","30,119","-39,506","1,171","-1,898","-269,653","131,254","14,475","-21,459"
2022-09-21,"55,300","3,222,448","-3,036,429","-242,148","156,613","-28,129","-5,037","5,448",-100,"-232,474","41,123","15,006","-138,469"
2022-09-20,"55,800","2,373,220","-3,403,808","940,538","1,190,976","-15,171","44,098","-1,446","5,045","-155,764","64,640","25,410","-127,200"
2022-09-19,"56,400","-80,395","-715,737","746,527","566,608","43,218","138,724","-1,653","-1,984","36,459","49,063",542,"-34,845"
2022-09-16,"56,200","1,917,640","-267,377","-1,676,878","-1,299,644","76,162","-73,168","-3,115",-98,"-64,508","20,623","5,992","-312,507"
2022-09-15,"56,000","3,761,414","-2,832,190","-1,060,370","-769,069","16,113","-145,806","41,920","1,949","24,207","115,071","16,075","-229,684"
2022-09-14,"56,800","1,436,130","-94,816","-1,345,231","-1,536,806","10,736","-80,369","25,028",-70,"388,180",-123,"4,040","-151,930"
2022-09-13,"58,100","-4,502,484","1,313,454","3,196,594","2,392,551","122,424","320,428","4,256","7,129","150,011",-402,"-7,162","199,795"
2022-09-08,"55,600","3,955,419","-5,958,877","2,121,095","2,073,090","22,270","20,137","6,000","3,851","-243,057","-133,460","15,823","238,804"
